,id,label,text
0,768213876278165504,NONE,me caes muy bien tienes jugar más partidas al lol russel conmigo por qué tan otako deja ser otako haber si me muero
1,768213567418036224,N,myendlesshazza a puto mal escribo b me sigo surrando help  ha quedado raro cómetelo jajajaja
2,768212591105703936,N,estherct jajajaja d mucha gente seguro yo puedo mi melena me muero
3,768221670255493120,P,quiero mogollón a albabenito sobretodo por rápido contesta a los wasaps
4,768221021300264964,N,vale he visto tia bebiendose su regla me hs muchs grima
5,768220253730009091,P,yulian poe guillermoterr ah mucho más por supuesto solo incluyo me habías entendido mal
6,768224728049999872,N,se ha terminado rio lamentablemente arriendo las ganancias al pueblo brasileño por penuria espera suerte solidaridad
7,768231706746912769,P, siiii fue super gracioso teniamos habernos sacado una foto
8,768231229439311872,N,toni end seria dejasen emitir basura ya hay evolucionar para bien eso
9,768231166965145600,N,jonoro te mandaria a comprarte un burro hayan tiendas abiertas ahora
10,768230914233143296,N,mg pongo un adjetivo super repelente a vuestro nombre
11,768224471127826432,N,hywzz voz maría al final me mata jajajsjajajaj quilla yo
12,768223726739611652,P,edugala jajaes bien nacidos ser agradecidos diría aqueltiene récord puntos del vcfcreo q cumplió había
13,768223225453084674,P,misscatingcat bueno al menos has acabado noche una hermosa vista ami tambien me gusta verlos por noche 
14,768223146868703232,N,mendescodes heroinseb enserio cuando habéis dicho los froot loops malos me ha dolido
15,768229223769202689,P,sakura abril ow bueno pasa nada cuando puedas confirmarlo estoy aquí cara feliz con ojos sonrientes si pudieras cosplay sí a expo 
16,768228919032082433,P,aunque pensaba hasta mes octubre lunes próximo volveré a ver a mi familia mataró  felicidad
17,768228580673347584,N,oye luciaskaa te pones a hablar josecs como los viejos tiempos avisas juanalfonso crisdazgar
18,768228346232729603,N,jclilgangster yo tengo aguantar  niños pequeños es
19,768232948231462912,NONE,tejecristal  emberda estoy dedicandome a supps últimamente
20,768232556538068992,P,yosmath planetaradio incantus genial ya estoy conectada
21,768018934385807360,NEU,es muy raro sentimiento tengo ahora aunque fin qué más dará
22,768016294499221504,N,pabloserrano jesusbengoechea madrid tiene cultura los no tiene cultura propia vamos como los romanos su tiempo
23,768016038126620672,N,gracias por los ánimos he dormido un poco más me he tomado una pastilla ha bajado a  medio aún me noto rara
24,768078078589464578,NEU,kunmadera pues date unas cuantas horas es muy temprano
25,768055768700575744,P,xzdry xslgy tienes pinta gente por q veo t he conocio gracias a qt
26,768055711590977536,P,achocoblog  bueno desierta desierta no seres feéricos
27,768055650970693632,N,policia  esperando comisaría gandia han atendido a  personas solamente para una autorización viaje a un menor
28,768055614413086720,N,angelet elespanolcom he visto su dni o pasaporte presume serlo aunque es muydemasiadopeculiar poco caritativa
29,768065433362726912,N,albgard oh ¿me estás llamando gordo jajaja grazie ruliño puedo
30,768064666123825152,P,barrosnerea tú siempre sexy nerea qué tengas un maravilloso día besitos
31,768064453246128128,P,seestrena seestrenasietevidas sería un gato tipo garfield porqué soy un poco vago porqué me encanta lasaña
32,768063661541851137,N,prxttytimebomb emimartinez  si es odio a muerte a nueva harley quieres
33,768063618415992832,N,winterscliffrd tu como soportas calor sevillano hija
34,768062895053742080,NONE,joseche jagg adsuara cremos una agencia contratación temporales a ver cómo se vende a los sindicatos
35,768059359934943233,N,soyalt es estaremos atentas a las novedades futuras ¡el final del verano será igual vosotros
36,768058983827537920,N,me quedé dormido xdddd esque sigo reventado
37,768057277865717761,N,confirmao tengo pie roto he notado como puto hueso se movía
38,768057031660072960,P,lmg muchísimas gracias luis tú también eres un constancia trabajo espero os vaya todo genial
39,768056909198950401,N,tengo una adicción muy seria al burguer king necesito ayuda profesional
40,768056902655864832,N,me dice un pajarito ahora puede reservar web bibo nuevo danigarcia ca espero sea por demanda
41,768074230541975553,P,cobos rebeca a ti por responder espero deseo te salgan proyectos besitos
42,768073919169458176,NONE,puunissher kingkongjulen xcoorsa yuniiiiitoo youtube oye corsa yo he jugado contra puni lan
43,768079521648115713,P,estoy preparando cosas para especial sea muy especial
44,768078356596330501,NEU,solo una persona diga me conoce opine cómo soy convenza a otra ello significa sea así
45,768078302078722048,NONE,teabrounanueva vives madrid bueno yo estoy ahorrando yo intento jo si pues cola ya quedaremos a parte
46,768072993511763968,N,fonzeff malenko  girotix eso me temo mucho calor mucha gente por todos lados malo viajar agosto
47,768071942096166912,N,jordicanal pues si fichan lo sea además un ridículo espantoso igual qsf nos deja plantadosesperemos
48,768071491447652352,NONE,virsnroses cuando estén los  contactados aprobados se publicará listado nuestra web
49,768083732356075520,P,edu rnieves te recomiendo parece monótona hay capítulos vuelven a subir interés
50,768082578519785472,N,ya tengo capítulos juego tronos para ver me siento vacía
51,768082463201587200,P,goetha jajaja se aprovechó ke pudo ya se fue a currar mañana descansa mucho lío entonces no malagueño tal
52,768497346342772737,P,futbolero solo recuerda iman es tranquila
53,768496682082373632,NONE,altealasueca debate he estado leyendo blog silvio citaconsilvio pone feliuvicente citando al che
54,768557093955698688,NEU,comprendo te molen mis tattoos te los hagas iguales
55,768557081561591808,NONE, betterton juanrallo para cometer atentados terroristas  entonces existiera burkini
56,768556761209004032,NONE,cayusollo pues necesito un audio para próximo episodio ¿te animas
57,768512386269638656,N,morbosaborealis jajajaja eso es verdad aquí hay uno cuerdo
58,768511417846730753,P,xqwcrp xoancarv un lapsus advertido gracias a cascarelo subsanado gracias por tu aportación
59,768530754510946304,N,manubarba feo es llegar al reina sofía los descuentos estudiante para menores  años
60,768530671132352513,NEU,ivnlz resto puedo dudar ese grupo tengo claro
61,768530491104497664,P,pirata  roberts hay gente muy trabajando duro spherasports palabras así impulsan eliperezup
62,768530150002716672,N,ah vale me suelta puta subnormal te estoy llamando digo me sale dice ah es tengo wifi apagado
63,768529956162924544,NEU,adriansoler espero deseo interior te cause
64,768529333493391360,N,faranduleroyo pues espero digas por mi niña o voto mas memeo bueno cada uno tendra su opinion 
65,768529250257338368,NONE,tabernita ptraciogg pregunta seria para cuando kedadacañas gente twittera zona
66,768529047878004736,P,garbimuguruza yo cuando pueda quiero tener omega constellation los numéricos romanos
67,768562609029255168,N,feralcazar  es grasioso vez aspirar a ser alcalde aspiras a concejal
68,768562544239927296,N,hoy quiero hacer otro juego estos tw esque son todos iguales
69,768562373472976896,NONE,eleder  ahora mayoría absoluta eh
70,768562234582851584,N,por desgracia sorteo pensado hacer es sólo para gente europa ya haré más sorteos para todo mundo
