,Unnamed: 0,id,label,text,tokens,stems,lemmas
0,0,768213876278165504,NONE,me caes muy bien tienes jugar más partidas al lol russel conmigo por qué tan otako deja ser otako haber si me muero,"['me', 'caes', 'muy', 'bien', 'tienes', 'jugar', 'más', 'partidas', 'al', 'lol', 'russel', 'conmigo', 'por', 'qué', 'tan', 'otako', 'deja', 'ser', 'otako', 'haber', 'si', 'me', 'muero']","['me', 'caes', 'muy', 'bien', 'tien', 'jug', 'mas', 'part', 'al', 'lol', 'russel', 'conmig', 'por', 'que', 'tan', 'otak', 'dej', 'ser', 'otak', 'hab', 'si', 'me', 'muer']","['caser', 'mucho', 'bien', 'tener', 'jugar', 'más', 'partida', 'al', 'lol', 'russel', 'por', 'tanto', 'otako', 'dejar', 'ser', 'otako', 'haber', 'si', 'muero']"
1,1,768213567418036224,N,myendlesshazza a puto mal escribo b me sigo surrando help  ha quedado raro cómetelo jajajaja,"['myendlesshazza', 'a', 'puto', 'mal', 'escribo', 'b', 'me', 'sigo', 'surrando', 'help', 'ha', 'quedado', 'raro', 'cómetelo', 'jajajaja']","['myendlesshazz', 'a', 'put', 'mal', 'escrib', 'b', 'me', 'sig', 'surr', 'help', 'ha', 'qued', 'rar', 'cometel', 'jajajaj']","['myendlesshazza', 'a', 'puto', 'mal', 'escribir', 'b', 'seguir', 'surrar', 'help', ' ', 'haber', 'quedar', 'raro', 'cómetelo', 'jajajaja']"
2,2,768212591105703936,N,estherct jajajaja d mucha gente seguro yo puedo melena me muero,"['estherct', 'jajajaja', 'd', 'mucha', 'gente', 'seguro', 'yo', 'puedo', 'melena', 'me', 'muero']","['estherct', 'jajajaj', 'd', 'much', 'gent', 'segur', 'yo', 'pued', 'melen', 'me', 'muer']","['estherct', 'jajajaja', 'd', 'mucho', 'gente', 'seguro', 'poder', 'melena', 'muero']"
3,3,768221670255493120,P,quiero mogollón a albabenito sobretodo rápido contesta a wasaps,"['quiero', 'mogollón', 'a', 'albabenito', 'sobretodo', 'rápido', 'contesta', 'a', 'wasaps']","['quier', 'mogollon', 'a', 'albabenit', 'sobretod', 'rap', 'contest', 'a', 'wasaps']","['querer', 'mogollón', 'a', 'albabenito', 'sobretodo', 'rápido', 'contesta', 'a', 'wasaps']"
4,4,768221021300264964,N,vale he visto tia bebiendose su regla me hs muchs grima,"['vale', 'he', 'visto', 'tia', 'bebiendose', 'su', 'regla', 'me', 'hs', 'muchs', 'grima']","['val', 'he', 'vist', 'tia', 'beb', 'su', 'regl', 'me', 'hs', 'muchs', 'grim']","['valer', 'haber', 'ver', 'tia', 'beber él', 'su', 'regla', 'hs', 'muchs', 'grima']"
5,5,768220253730009091,P,yulian poe guillermoterr ah mucho más supuesto solo incluyo me habías entendido mal,"['yulian', 'poe', 'guillermoterr', 'ah', 'mucho', 'más', 'supuesto', 'solo', 'incluyo', 'me', 'habías', 'entendido', 'mal']","['yuli', 'poe', 'guillermoterr', 'ah', 'much', 'mas', 'supuest', 'sol', 'inclu', 'me', 'hab', 'entend', 'mal']","['yulian', 'poe', 'guillermoterr', 'ah', 'mucho', 'más', 'supuesto', 'solo', 'incluyo', 'habías', 'entender', 'mal']"
6,6,768224728049999872,N,ha terminado rio lamentablemente arriendo las ganancias al pueblo brasileño penuria espera suerte solidaridad,"['ha', 'terminado', 'rio', 'lamentablemente', 'arriendo', 'las', 'ganancias', 'al', 'pueblo', 'brasileño', 'penuria', 'espera', 'suerte', 'solidaridad']","['ha', 'termin', 'rio', 'lament', 'arriend', 'las', 'gananci', 'al', 'puebl', 'brasileñ', 'penuri', 'esper', 'suert', 'solidar']","['haber', 'terminar', 'rio', 'lamentablemente', 'arreir', 'el', 'ganancia', 'al', 'pueblo', 'brasileño', 'penuriar', 'esperar', 'suerte', 'solidaridad']"
7,7,768231706746912769,P, siiii fue super gracioso teniamos habernos sacado foto,"['siiii', 'fue', 'super', 'gracioso', 'teniamos', 'habernos', 'sacado', 'foto']","['siiii', 'fue', 'sup', 'gracios', 'teni', 'hab', 'sac', 'fot']","[' ', 'siiii', 'ser', 'super', 'gracioso', 'teniamos', 'habernos', 'sacar', 'foto']"
8,8,768231229439311872,N,toni end seria dejasen emitir basura ya hay evolucionar para bien eso,"['toni', 'end', 'seria', 'dejasen', 'emitir', 'basura', 'ya', 'hay', 'evolucionar', 'para', 'bien', 'eso']","['toni', 'end', 'seri', 'dej', 'emit', 'basur', 'ya', 'hay', 'evolucion', 'par', 'bien', 'eso']","['toni', 'end', 'seria', 'dejar', 'emitir', 'basura', 'ya', 'haber', 'evolucionar', 'para', 'bien']"
9,9,768231166965145600,N,jonoro te mandaria a comprarte burro hayan tiendas abiertas ahora,"['jonoro', 'te', 'mandaria', 'a', 'comprarte', 'burro', 'hayan', 'tiendas', 'abiertas', 'ahora']","['jonor', 'te', 'mandari', 'a', 'comprart', 'burr', 'hay', 'tiend', 'abiert', 'ahor']","['jonoro', 'mandariar', 'a', 'comprarte', 'burro', 'haber', 'tienda', 'abierto', 'ahora']"
10,10,768230914233143296,N,mg pongo adjetivo super repelente a vuestro nombre,"['mg', 'pongo', 'adjetivo', 'super', 'repelente', 'a', 'vuestro', 'nombre']","['mg', 'pong', 'adjet', 'sup', 'repelent', 'a', 'vuestr', 'nombr']","['mg', 'poner', 'adjetivo', 'super', 'repelente', 'a', 'vuestro', 'nombre']"
11,11,768224471127826432,N,hywzz voz maría al final me mata jajajsjajajaj quilla yo,"['hywzz', 'voz', 'maría', 'al', 'final', 'me', 'mata', 'jajajsjajajaj', 'quilla', 'yo']","['hywzz', 'voz', 'mar', 'al', 'final', 'me', 'mat', 'jajajsjajajaj', 'quill', 'yo']","['hywzz', 'voz', 'macer', 'al', 'final', 'matar', 'jajajsjajajaj', 'quilla']"
12,12,768223726739611652,P,edugala jajaes bien nacidos ser agradecidos diría aqueltiene récord puntos del vcfcreo q cumplió había,"['edugala', 'jajaes', 'bien', 'nacidos', 'ser', 'agradecidos', 'diría', 'aqueltiene', 'récord', 'puntos', 'del', 'vcfcreo', 'q', 'cumplió', 'había']","['edugal', 'jaj', 'bien', 'nac', 'ser', 'agradec', 'dir', 'aqueltien', 'record', 'punt', 'del', 'vcfcre', 'q', 'cumpl', 'hab']","['edugala', 'jajaes', 'bien', 'nacido', 'ser', 'agradecido', 'decir', 'aqueltiene', 'récord', 'punto', 'del', 'vcfcreo', 'q', 'cumplir', 'haber']"
